Unidad Administrativa,Direcciones/Subdirecciones,"Áreas (ejemplo: Personal, Financieros, recursos materiales, Distritos de Riego, Observatorios, Meteorológicos, Residenciasetc.)"
Dirección Local Campeche,Direccion,
,Subdireccion de Enlace Administrativo,Personal
,,Recursos Financieros
,,Recursos Materiales
,,Tecnologia de la Información
,,Comunicación y Cultura del Agua
,Subdireccion de Infraestructura hidroagricola,Coordinación de Protección a la Infraestructura
,,Coordinación de Protección a la Infraestructura (CRAE14)
,,Unidades de Riego
,,Distritos de Temporal
,,Residencia de Construcción
,Area de Agua Potable,Prodder
,,Prosanear
,,Proagua
,Subdirección de Consejo de Cuenca Gestión Social y Atención de Emergencias,
,Juridico,Jurídico
,Subdirección de Administración del Agua,Centro Integral de atención de Servicios
,,Inspección y Medición
,,Dictaminación
,,Archivo
,,Calificación de Infracciones
,Area de Recaudación y Fiscalización,Recaudación
,Residencia Técnica,Observatorio Meteorológico
,,Radar Sabancuy
,,Aguas Subteraneas
,,Aguas Superficiales
DIRECCIÓN LOCAL COAHUILA ,SUBDIRECCIÓN DE ADMINISTRACIÓN DEL AGUA,SUBDIRECCIÓN DE ADMINISTRACIÓN DEL AGUA
,SUBDIRECCION DE ENLACE ADMINISTRATIVO,PERSONAL
,,FINANCIEROS
,,UNIDAD JURIDICA
,,RECURSOS MATERIALES
,,SISTEMAS
,SUBDIRECCIÓN DE ASISTENCIA TECNICA-HIDROAGRICOLA,SUBDIRECCIÓN DE ASISTENCIA TECNICA-HIDROAGRICOLA
,Coordinación de Atención a Emergencias y Consejos de Cuenca,BRIGADA DE PROTECCION A LA INFRAESTRUCTURA Y ATENCION A EMERGENCIAS
,SUBDIRECCIÓN DE ASISTENCIA TECNICA-OPERATIVA,SUBDIRECCIÓN DE ASISTENCIA TECNICA-OPERATIVA
,,CENTRO DE ACOPIO 
,,OBSERVATORIO PIEDRAS NEGRAS
,,DISTRITO DE RIEGO 006 PALESTINA
,,OBSERVATORIO MONCLOVA 
,Coordinación de Atención a Emergencias y Consejos de Cuenca,Centro Regional de Atención a Emergencia (CRAE)
,SUBDIRECCIÓN DE ASISTENCIA TECNICA-OPERATIVA,OBSERVATORIO SALTILLO
Dirección Local Colima,Proteccion a la Infraestructrura y Atención de Emergencias,Presa Basilio Vadillo
,,Presa Trojes
,,Derivadora Callejones
,,Radar de Cuyutlan
,Residencia Técnica,Observatorio Metereologico de Manzanillo
Dirección Local Estado de México,Dirección,PIAE
,Subdirección de enlace Administrativo,Personal
,,Recursos Financieros
,,Recursos Materiales
,,Servicios Generales
,,Adquisiciones
,,Unidad de Almacen
,,Informática y Telecomunicaciones
,"Subdirección de Consejos de Cuenca, Gestión Social y Atención de a Emergencias",
,Unidad de Asuntos Jurídicos,
,Subdirección de Administración del Agua,Servicios a Usuarios
,,Inspección y Medición
,,Calificación e Infracciones
,,Archivo
,,Centro Integral de Servicios
,Subdirección de Asistencia Técnica Operativa,Laboratorio
,Recaudación y Fiscalización.,
,Meteorológico,
,Distrito de Riego 033 Atlacomulco,
,Distrito de Riego 044 Jilotepec,
,Distrito de Riego 088 Chiconautla,
,Residencia General Zumpango,
Dirección Local Guerrero,Dirección,Dirección
,Subdirección de Enlace Administrativo,Subdirección
,,Personal
,,Financieros
,,Recursos Materiales
,,Tecnología de Información y Comunicaciones
,,Almacen
,Subdirección de Administración del Agua,Subdirección
,,Dictaminacion y Titulación
,,Centro Integral de Servicios
,,Inspección y Medición
,,Calificación de Infracciones
,Subdirección Técnica,Subdirección
,,Seguridad de Presas
,,Aguas Subterraneas
,,Aguas Superficiales e Ingeniería de Ríos
,,Laboratorio de Calidad del Agua 
,Brigada de Proteccion a la Infraestructura y Atención a Emergencias,Brigada de Proteccion a la Infraestructura y Atención a Emergencias
,Unidad de Asuntos Jurídicos,Unidad de Asuntos Jurídicos
,"Subdirección de Agua Potable, Drenaje y Saneamiento",Subdirección
,,Programas Federalizados
,,Programa de Devolución de Derechos
,Subdirección de Recaudación y Fiscalización,Subdirección de Recaudación y Fiscalización
,Subdirección ,"Subdirección de Consejos de Cuenca, Gestion social y Atencion a Emergencias"
,Subdirección Técnica,Observatorio Meteorológico Chilpancingo
,,Observatorio Meteorológico Acapulco
,Subdireccion de Infraestructura Hidroagricola,Subdireccion
