ID,Ciudad,Estado,C.P,Dirección
"Oficinas Centrales - Insurgentes Sur No. 2416, Planta Baja, Ala Poniente.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Planta Baja, Ala Poniente, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Planta Baja, Ala Sur.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Planta Baja, Ala Sur, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 1, Ala Poniente.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 1, Ala Poniente, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 1, Ala Sur.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 1, Ala Sur, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 2, Ala Poniente.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 2, Ala Poniente, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 2, Ala Sur.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 2, Ala Sur, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 3, Ala Poniente.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 3, Ala Poniente, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 3, Ala Sur.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 3, Ala Sur, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 4, Ala Poniente.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 4, Ala Poniente, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 4, Ala Sur.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 4, Ala Sur, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 5, Ala Poniente.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 5, Ala Poniente, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 5, Ala Sur.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 5, Ala Sur, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 6, Ala Poniente.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 6, Ala Poniente, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 6, Ala Sur.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 6, Ala Sur, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 7, Ala Poniente.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 7, Ala Poniente, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 7, Ala Sur.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 7, Ala Sur, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 8, Ala Poniente.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 8, Ala Poniente, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 8, Ala Sur.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 8, Ala Sur, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 9, Ala Poniente.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 9, Ala Poniente, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 9, Ala Sur.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 9, Ala Sur, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 10, Ala Poniente.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 10, Ala Poniente, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 10, Ala Sur.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 10, Ala Sur, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 11, Ala Poniente.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 11, Ala Poniente, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 11, Ala Sur.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 11, Ala Sur, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 12, Ala Poniente.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 12, Ala Poniente, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
"Oficinas Centrales - Insurgentes Sur No. 2416, Piso 12, Ala Sur.",CDMX,CDMX,"04340,","Insurgentes Sur No. 2416, Piso 12, Ala Sur, Col. Copilco El Bajo, Alc. Coyoacán, C.P. 04340, CDMX."
